"Coluna","Ausentes","Pct"
"space","2527","56,9"
"is_new_listing","874","19,68"
"check_out","842","18,96"
"check_in","446","10,04"
"is_professional","355","7,99"
"can_instant_book","355","7,99"
"ad_description","54","1,22"
